World Masters Powerlifting Championship,,,,,,,,,,,,,,,
"3.-7.10.1995, Copenhagen / DEN",,,,,,,,,,,,,,,
Women 40 -,,,,,,,,Women's rankings by the achieved Malone points,,,,,,,
44-52 kg,Name,YOB,Nat,BWT,SQ,,,BP,,,DL,,,TOT,Pts
1,Anna-Maija Honka,51,SWE,51.1,,,135,,,67.5,,,147.5,350,12
2,Nicola Gifford,55,GBR,46.4,,,125,,,60,,,135,320,9
3,Nadezhda Uvachan,44,RUS,51,,,130,,,72.5,,,132.5,335,8
4,Anita Thimm,50,GER,51.6,,,110,,,62.5,,,145,317.5,7
5,Karen Clarke,53,GBR,51.4,,,90,,,42.5,,,125,257.5,6
6,Yosoko Tagaki,23,JPN,51,,,90,,,45,,,100,235,5
-,Vera Moser,23,USA,51.3,,,60,,,-,,,-,disq,
"56-67,5 Kg",,,,,,,,,,,,,,,
1,Toni Hollis,54,GBR,55.5,,,155,,,87.5,,,155,397.5,12
2,Mieke Vivijs,54,BEL,54.8,,,132.5,,,65,,,160,357.5,9
3,Irene King,54,CAN,67.3,,,155,,,97.5,,,162.5,415,8
4,Irmeli Vaulakorpi,54,FIN,54.1,,,135,,,70,,,140,345,7
5,Nadezhda Kashirina,54,RUS,60,,,135,,,80,,,160,375,6
6,Hana Takacova,54,CZE,59.7,,,145,,,75,,,140,360,5
7,Adina Hykova,43,CZE,54.3,,,122.5,,,65,,,137.5,325,4
8,Anne Bache-Gabrielsen,52,NOR,62.4,,,130,,,62.5,,,137.5,330,3
9,Lise Madsen,53,DEN,58.6,,,105,,,60,,,135,300,2
10,Gina Brown,48,GBR,56.8,,,115,,,55,,,117.5,287.5,1
11,Linda Harding,48,USA,66.2,,,115,,,72.5,,,137.5,325,1
12,Tatyana Fomina,46,RUS,61.1,,,125,,,47.5,,,117.5,290,1
13,Erika Druwe,36,GER,66.2,,,95,,,55,,,120,270,1
-,Nancy Strehlau,48,USA,66,,,130,,,-,,,-,disq,
-,Ursula Nothnagel,36,GER,61,,,0,,,-,,,-,disq,
75-90+ kg,,,,,,,,,,,,,,,
1,Joke v.d. Meulen,51,NED,69.3,,,170,,,82.5,,,182.5,435,12
2,Mariet Spronk,55,NED,68,,,145,,,87.5,,,175,407.5,9
3,Hildegard Utecht,46,GER,67.7,,,130,,,87.5,,,125,342.5,8
4,Teresita Frisbee,47,USA,73.6,,,137.5,,,80,,,142.5,360,7
5,Eva Paulig,54,GER,75.1,,,115,,,95,,,120,330,6
6,Henrietta Bufaight,53,USA,70.5,,,115,,,67.5,,,130,312.5,5
7,Eva Hansen,47,DEN,80.7,,,130,,,55,,,130,315,4
-,Anita Bruver,38,RSA,83.4,,,0,,,-,,,-,disq,
,,,,,,,,,,,,,,,
Men 40-49,,,,,,,,,,,,,,,
52 kg ,Name,YOB,Nat,BWT,SQ,,,BP,,,DL,,,TOT,Pts
1,Alex Galant,47,USA,51.1,130,140,147.5,85,85,85,145,157.5,160,392.5,12
2,Yuri Kaplya,51,RUS,52,122.5,132.5,142.5,80,87.5,90,125,140,150,382.5,9
3,Pijush Chatterjee,53,IND,49.6,115,125,140,70,75,80,145,150,162.5,365,8
4,Ramesh Surati,45,IND,50.9,120,130,137.5,45,55,-,135,150,-,310,7
56 kg,,,,,,,,,,,,,,,
1,Yashuhiro Satowa,54,JPN,54.9,185,190,195,87.5,92.5,95,175,185,185,462.5,12
2,Freddie Higgins,46,USA,55.5,157.5,170,170,117.5,125,127.5,175,187.5,190,450,9
3,Bretislav Raska,46,SVK,55.7,130,140,150,87.5,90,92.5,170,180,182.5,422.5,8
4,Per Svantesson,54,SWE,56,160,170,170,92.5,100,105,150,160,165,410,7
60 kg,,,,,,,,,,,,,,,
1,Anton Fidilio,46,GER,59.8,175,182.5,190,110,115,-,215,230,-,527.5,12
2,Jalo Rajala,53,FIN,59.7,140,150,155,100,107.5,112.5,185,195,200,457.5,9
3,Paul Vernimmen,55,BEL,57.8,150,162.5,162.5,90,95,97.5,187.5,195,197.5,452.5,8
4,R.C. Joshi,52,IND,59.4,140,150,155,90,100,100,140,152.5,162.5,412.5,7
5,Joachim Lietzau,50,GER,59.8,115,125,135,105,110,115,140,150,157.5,407.5,6
6,Hialaj Jariwala,53,IND,59.3,135,142.5,147.5,107.5,112.5,117.5,150,157.5,162.5,405,5
-,Larry Christ,48,USA,59.9,167.5,182.5,192.5,110,115,120,202.5,202.5,202.5,disq,
"67,5kg",,,,,,,,,,,,,,,
1,Gennady Sayapin,51,RUS,67,230,240,245,140,147.5,147.5,230,242.5,247.5,640,12
2,Jakob Hansen,49,DEN,67.4,220,230,237.5,145,152.5,155,220,220,225,610,9
3,Haruo Taira,54,JPN,66.9,220,227.5,230,160,165,170,215,225,225,607.5,8
4,Ken Lam,49,CAN,67.4,210,220,220,132.5,137.5,142.5,235,242.5,252.5,590,7
5,Ron Kerr,55,GBR,67,205,217.5,222.5,110,117.5,122.5,210,225,230,570,6
6,Keijo Kuisma,52,FIN,67,185,195,195,120,125,127.5,225,235,245,557.5,5
7,Petr Hruby,54,CZE,67.1,160,160,172.5,115,125,130,180,190,200,475,4
8,Malcolm Scott,52,USA,66.2,125,140,150,75,90,90,140,150,155,370,3
,Achille Caredda,53,ITA,66.7,210,,,,,,,,,disq / d,
75 kg,,,,,,,,,,,,,,,
1,Jan Wilczynski,55,POL,74.4,260,270,275.5,147.5,155,160,270,275,280,710,12
2,Leonid Lokhov,48,RUS,74.5,240,250,262.5,145,152.5,157.5,260,275,-,690,9
3,Ricardo Gengotti,52,ITA,74.8,220,230,230,130,137.5,142.5,250,272.5,-,635,8
4,Richard Cirigliano,55,USA,74.9,205,220,220,130,137.5,142.5,250,272.5,277.5,635,7
5,Ulric Gill,49,USA,74.4,220,237.5,245,125,132.5,132.5,222.5,235,240,617.5,6
6,Noriano Coppari,52,ITA,74.6,205,215,220,120,130,135,235,245,-,590,5
7,Wilbur Harding,47,CAN,74.7,195,205,210,135,142.5,145,220,227.5,235,582.5,4
8,John Russel,46,GBR,73.5,215,225,225,120,120,130,220,235,-,580,3
9,Janis Pauluks,46,LAT,72.3,205,215,215,115,120,122.5,230,240,247.5,567.5,2
10,Sjinji Kawai,54,JPN,73.2,195,210,220,135,142.5,145,200,210,220,565,1
11,Carl-Johan Perlstr�m,51,SWE,74.4,200,215,225,105,110,110,220,235,250,560,1
12,Lawrence Arendse,54,RSA,73,180,190,200,120,130,142.5,200,220,240,550,1
13,Jagdish Rangrej,54,IND,74.8,180,195,200,130,135,140,200,210,-,530,1
14,Wolfgang H�ckendorf,46,GER,73.9,150,160,160,115,120,120,150,165,175,445,1
15,Iwarlal Vyas,46,IND,73.7,120,130,140,80,90,95,150,160,167.5,397.5,1
"82,5 kg",,,,,,,,,,,,,,,
1,Valery Glazunov,48,RUS,80.4,270,280,285,175,185,187.5,245,255,260,727.5,12
2,Tasufumi Nakao,48,JPN,82.1,265,272.5,272.5,152.5,160,170,260,267.5,270,712.5,9
3,John Tyree,53,USA,81.4,237.5,237.5,262.5,152.5,162.5,162.5,252.5,272.5,292.5,697.5,8
4,David Barnes,47,GBR,80.1,235,247.5,252.5,135,145,150,290,300,300,692.5,7
5,Harry v.d. Brand,46,NED,80.6,260,267.5,272.5,157.5,162.5,165,260,272.5,275,690,6
6,Wilfried D�rner,52,GER,81.2,240,250,250,170,177.5,182.5,240,247.5,-,667.5,5
7,Terje Edvardsen,54,NOR,79.8,230,240,250,120,125,127.5,255,260,265,637.5,4
8,Will Lincoln,50,GBR,82.2,230,245,250,142.5,150,152.5,215,227.5,235,630,3
9,Herbert Sattler,54,AUT,81.9,230,242.5,242.5,145,152.5,155,235,245,245,620,2
10,G�ran Lundberg,54,SWE,80.9,225,-,235,130,135,140,230,240,250,610,1
11,Joachim Lehmann,49,GER,82.3,177.5,187.5,192.5,120,125,130,217.5,230,237.5,552.5,1
12,Tom Steward,48,CAN,81.2,190,190,195,115,120,120,215,230,237.5,545,1
13,Arun Padelkar,54,IND,82.2,220,230,230,100,100,100,225,240,-,545,1
,Pietro Andreatta,50,ITA,81.7,,,,,,,,,,disq / d,
90 kg,,,,,,,,,,,,,,,
1,James Cash,49,USA,89.3,245,262.5,275,165,165,177.5,275,295,315,735,12
2,Siegmund Schiebe,53,GER,88.4,245,255,260,145,150,155,270,280,285,690,9
3,Martin Brown,51,USA,89.6,240,240,272.5,142.5,150,150,250,282.5,290,680,8
4,Karlis Bulans,52,LAT,88.1,230,245,250,140,145,145,280,290,295,675,7
5,Karl Christensen,50,DEN,88.4,250,270,280,140,147.5,152.5,250,265,265,672.5,6
6,Rein Van Kesteren,54,CAN,89.7,242.5,255,260,142.5,152.5,157.5,240,252.5,265,660,5
7,Junzo Itoh,54,JPN,89.2,205,215,225,185,190,190,225,235,235,650,4
8,Manfred Vetter,52,GER,89.1,240,240,250,130,135,137.5,260,270,275,645,3
9,Flossi Jonsson,54,ISL,88.9,230,245,245,145,155,155,225,250,-,635,2
-,Anders Carlsson,52,SWE,88.2,230,230,230,-,-,-,-,-,-,disq,
-,Harry Vestergaard,53,DEN,89.9,170,185,190,130,140,150,230,230,230,disq,
100 kg,,,,,,,,,,,,,,,
1,Vasily Mazhuta,47,RUS,99.8,245,255,260,175,180,185,270,280,285,730,12
2,Kjell Fransson,55,SWE,99.4,245,262.5,272.5,150,162.5,170,230,255,260,702.5,9
3,Jan Onslatt,50,SWE,94.7,255,262.5,270,165,170,172.5,255,255,255,697.5,8
4,Josef Micka,49,CZE,99.1,210,240,-,165,172.5,180,270,280,280,690,7
5,Roger Scott,48,GBR,99.9,245,245,260,145,152.5,160,250,272.5,280,685,6
6,Will Crossen,53,USA,96.8,227.5,227.5,255,190,210,210,252.5,260,272.5,677.5,5
7,Leif Sydengen,55,NOR,97,225,235,245,180,190,192.5,225,240,245,675,4
8,Helmut Platzer,51,GER,99.5,250,250,260,140,145,145,250,270,275,665,3
9,Franz Seul,48,LUX,99.4,242.5,247.5,252.5,160,165,170,245,252.5,252.5,662.5,2
10,Carl Korsgaard,53,DEN,98.7,200,225,235,130,140,145,230,250,260,630,1
11,Josef Teslar,49,SVK,96.9,215,225,240,152.5,160,160,215,225,235,610,1
110 kg,,,,,,,,,,,,,,,
1,Ferry v.d. Meulen,47,NED,105.4,280,300,300,180,190,195,280,290,302.5,765,12
2,Seppo Mikkola,50,FIN,101.4,285,295,295,185,185,187.5,260,275,275,730,9
3,Jan Siska,55,SVK,107.9,255,265,-,150,162.5,170,270,280,300,705,8
4,Arne Nommerstad,54,NOR,105.4,250,262.5,267.5,150,155,160,260,270,270,687.5,7
5,Juha Reinikka,55,FIN,108.3,220,230,240,150,155,165,280,292.5,295,687.5,6
6,Robert Oren,50,NOR,102.7,235,245,250,150,155,160,250,260,265,670,5
7,Lennart Engbe,48,SWE,105.2,235,245,252.5,150,160,165,240,265,265,670,4
8,Erik Hansson,55,SWE,108,230,250,260,145,155,160,230,250,260,670,3
9,Xaver Kennerknecht,46,GER,100.2,220,230,240,115,120,120,240,255,260,605,2
-,Vladimir Lebedev,50,UKR,106.9,275,285,290,167.5,177.5,177.5,270,270,270,disq,
125 kg,,,,,,,,,,,,,,,
1,Terry Young,54,CAN,119.8,282.5,295,295,170,177.5,185,280,300,307.5,787.5,12
2,Oleksiy Rokochiy,51,UKR,119.8,270,270,290,160,175,185,290,305,325,770,9
3,Dennis Anderssson,55,SWE,114.6,270,285,295,165,175,180,280,290,305,755,8
4,Leonid Emelyanov,49,RUS,124.6,270,285,300,190,205,215,260,280,290,755,7
5,Stefan Schlatter,48,SUI,124.6,260,270,270,150,160,160,280,290,290,700,6
6,Conny Olsson,54,SWE,113.7,245,265,270,140,147.5,150,240,267.5,277.5,660,5
125+ kg,,,,,,,,,,,,,,,
1,Junior Faamausili,51,USA,130.8,365,387.5,387.5,230,250,260,267.5,280,297.5,912.5,12
2,Lajos Bajcsi,54,HUN ,129.2,310,320,330,210,220,220,280,290,290,830,9
3,Wiebe Nyenhuis,55,NED,128.6,290,300,300,185,185,195,315,330,330,790,8
4,Peter Morgan,53,GBR,131.7,280,300,310,165,172.5,172.5,260,260,282.5,732.5,7
5,Moe Myburg,55,RSA,143.5,270,290,290,185,190,190,250,260,-,710,6
6,Georg Bostr�m,47,SWE,127.9,205,230,250,145,155,162.5,215,235,-,627.5,5
,,,,,,,,,,,,,,,
Men 50,,,,,,,,,,,,,,,
52 kg ,Name,YOB,Nat,BWT,SQ,,,BP,,,DL,,,TOT,Pts
1,Hideaki Inaba,44,JPN,52,215,230,237.5,92.5,97.5,102.5,215,220,230,560,12
2,Shinjun Oshiro,43,JPN,51.7,125,125,135,105,115,120,140,155,170,405,9
3,Vladimir Denisov,37,RUS,50.4,115,120,120,72.5,77.5,77.5,130,140,145,332.5,8
56 kg,,,,,,,,,,,,,,,
1,Hiraku Fushimi,37,JPN,55.8,130,140,140,110,120,127.5,160,170,170,430,12
2,Vladimir Sadovnikov,37,RUS,55.9,140,152.5,160,75,85,92.5,160,195,-,397.5,9
60 kg,,,,,,,,,,,,,,,
1,Roger Powell,36,GBR,59.6,160,170,180,90,95,97.5,200,215,225,502.5,12
2,Tapani Pulkkinen,40,FIN,59.9,160,167.5,170,82.5,87.5,-,170,180,187.5,437.5,9
3,Ted Brown,30,GBR,58.8,135,145,152.5,90,97.5,100,165,177.5,185,430,8
-,Hiroaki Suzuki,36,JPN,59.3,182.5,182.5,182.5,-,-,-,-,-,-,disq,
"67,5 kg",,,,,,,,,,,,,,,
1,Mauri Lappalainen,41,FIN,67.1,200,210,220,85,90,95,230,245,252.5,562.5,12
2,Moegsin Philander,43,RSA,65.8,175,195,195,130,135,140,180,205,215,520,9
3,Horst Diter,43,DEN,66.3,175,192.5,200,107.5,112.5,112.5,190,202.5,212.5,502.5,8
4,Sam Alvenda,42,USA,67,177.5,192.5,195,122.5,132.5,140,172.5,185,185,497.5,7
75 kg,,,,,,,,,,,,,,,
1,Sven �ling,43,FIN,74.2,220,230,230,145,150,150,220,230,230,585,12
2,Ben Brent,37,USA,73.8,215,227.5,235,105,105,110,247.5,265,265,580,9
3,Masayuki Suzuki,39,JPN,73.9,200,200,205,150,155,157.5,205,212.5,215,570,8
4,Seppo Tiri,39,FIN,74.4,190,197.5,200,137.5,142.5,145,210,220,230,555,7
5,Alexander Semeneyev,43,RUS,75,200,210,215,125,130,132.5,200,210,217.5,550,6
6,Freddy Eriksson,45,SWE,75,190,200,200,105,112.5,115,220,230,-,525,5
7,George Leggett,29,GBR,74,135,192.5,197.5,100,107.5,110,200,210,215,520,4
8,Freddy Nash,43,RSA,73,185,200,200,125,130,130,180,195,195,490,3
9,Norman Andersson,37,GBR,73.9,160,170,175,110,115,120,170,180,190,480,2
10,Karel Sourek,43,GBR,73.8,140,150,160,100,100,107.5,190,205,210,465,1
11,Hari Singh,43,IND,73,150,150,160,100,100,105,170,190,195,455,1
-,Robert Mild,32,AUT,73.9,165,-,175,-,-,-,-,-,-,disq,
"82,5 kg",,,,,,,,,,,,,,,
1,Lars Augustsson,44,SWE,81.4,260,285,292.5,160,170,177.5,230,250,260,722.5,12
2,Martti Tikkam�ki,44,FIN,81.2,220,232.5,237.5,150,160,165,240,257.5,265,662.5,9
3,Vyacheslav Bogomolov,39,RUS,82.1,225,240,250,135,145,145,250,265,275,640,8
4,Mick Hunnan,45,GBR,81.1,215,225,232.5,150,160,165,227.5,237.5,250,627.5,7
5,Toshihiko Satoh,40,JPN,81.7,200,220,225,185,195,195,210,210,220,620,6
6,Per Forslund,43,SWE,81.9,215,225,230,135,142.5,147.5,220,230,-,607.5,5
7,Roland Bonner,43,GBR,79.3,220,230,237.5,110,120,125,230,240,250,590,4
8,Hans Wende,44,GER,82,170,180,180,90,-,,235,245,250,510,3
-,Angel Liciaga,35,PUR,81,237.5,242.5,247.5,137.5,137.5,137.5,-,-,-,disq,
90 kg,,,,,,,,,,,,,,,
1,Evgeniy Khokhlov,41,RUS,89.5,250,270,280,150,160,160,260,270,280,720,12
2,Dan Hamblet,43,USA,89.5,237.5,252.5,262.5,155,160,162.5,275,292.5,310,705,9
3,Mormitsu Tomiyama,42,JPN,82.8,225,235,240,155,160,165,230,240,245,645,8
4,Terje Brovold,45,NOR,85.6,220,230,230,157.5,165,172.5,220,230,245,632.5,7
5,Jonny Wall,45,SWE,89.7,240,250,250,140,145,150,220,240,-,620,6
6,Unto Lehtinen,42,SWE,89.5,210,220,225,125,130,132.5,235,247.5,252.5,607.5,5
7,Charles Crawford,39,GBR,87.3,220,230,237.5,115,115,122.5,220,235,240,600,4
8,Ron Forman,43,USA,88.5,200,207.5,207.5,130,135,140,227.5,250,255,592.5,3
9,Louis Loncke,40,BEL,84,232.5,252.5,273,105,112.5,112.5,205,230,242.5,587.5,2
10,Erwin Breitenbach,44,GER,88.2,205,212.5,217.5,102.5,107.5,110,235,245,245,557.5,1
11,Hans Anesen,39,NOR,85.5,180,190,200,130,135,135,210,225,227.5,555,1
12,Freddy Jensen,41,DEN,89.1,170,185,190,130,130,142.5,180,192.5,202.5,517.5,1
13,Jose-Luis Martinez,39,ESP,87.9,100,-,,157.5,157.5,160,135,135,-,395,1
-,Wolfgang Kolditz,40,GER,87,145,152.5,155,100,100,100,-,-,-,disq,
100 kg,,,,,,,,,,,,,,,
1,Juhani �ij�,41,FIN,99,250,265,270,200,212.5,215.5,270,285,290,775,12
2,Vsevolod Babenko,37,UKR,99,250,250,270,175,185,185,275,290,305,735,9
3,Willi M�ller,39,GER,99.5,245,260,265,150,157.5,162.5,275,290,315,712.5,8
4,Mikhail Rusakov,44,RUS,99.8,235,245,250,175,185,190,240,255,260,700,7
5,Robert Rood,40,USA,99.1,240,250,260,160,175,175,250,262.5,267.5,697.5,6
6,R�diger Pfeiffer,41,USA,98.1,240,260,270,160,170,170,250,260,260,680,5
7,Karl Grabosch,37,GER,98.4,240,250,255,142.5,142.5,150,245,260,265,670,4
8,Rod Fielding,44,GBR,97.2,205,215,222.5,120,127.5,132.5,250,265,272.5,627.5,3
9,Vyacheslav Tsygankov,38,UKR,95.3,210,220,230,130,140,140,210,225,232.5,575,2
10,Josef Cisak,45,POL,92.6,205,215,220,125,130,130,205,205,-,545,1
11,Julius Madsen,37,DEN,97.2,130,140,147.5,140,150,157.5,160,170,180,477.5,1
110 kg,,,,,,,,,,,,,,,
1,Manfred Grossmann,42,GER,103.1,275,285,295,182.5,182.5,190,270,282.5,290,775,12
2,Antero Rinne,45,FIN,108.7,262.5,280,280,167.5,180,190,260,275,280,722.5,9
3,Dan Lindst�m,41,SWE,107.1,235,235,250,162.5,170,172.5,225,237.5,245,660,8
4,Truls Kristensen,40,NOR,102.1,230,245,252.5,140,150,157.5,230,245,245,655,7
5,Yuri Lobachev,38,RUS,102.6,220,230,240,140,150,150,250,260,277.5,640,6
6,Miller Edwards,43,USA,108.2,220,220,220,167.5,177.5,177.5,250,280,280,637.5,5
7,George Moran,41,GBR,107.4,200,220,232.5,120,127.5,130,210,225,232.5,587.5,4
8,Ernst Christensen,30,DEN,105.7,200,220,230,120,125,125,220,240,-,580,3
9,Jan Monstad,33,NOR,101.9,180,190,190,80,85,85,220,230,230,490,2
125 kg,,,,,,,,,,,,,,,
1,Yuri Kalashnik,40,UKR,122.6,280,290,300,170,180,190,270,285,292.5,772.5,12
2,Hans Ring,45,SWE,114,250,260,260,160,167.5,172.5,250,260,275,677.5,9
3,Hans Frece,40,GER,111.9,240,250,250,147.5,155,157.5,235,242.5,242.5,640,8
4,Olavi Erola,36,FIN,116.4,230,240,245,140,147.5,150,230,240,-,630,7
5,Nikolai Shuliatyev,40,RUS,113.6,220,235,235,140,150,152.5,220,230,235,595,6
6,Roberts Beitans,39,LAT,121.9,150,160,160,120,125,130,200,-,-,485,5
,C.J. Batten,43,USA,124.1,,,,,,,,,,disq / d,
125+ kg,,,,,,,,,,,,,,,
1,Knut Asvang,44,NOR,134.8,270,290,300,190,205,210,270,280,280,770,12
2,Robert Smith,42,USA,125.7,210,210,230,165,170,175,215,230,240,630,9
3,Vladimir Maramzin,41,RUS,130.6,210,210,225,145,155,160,220,230,252.5,610,8
4,Eduard Dobroy,41,EST,132.3,225,235,235,160,165,170,190,210,220,600,7
5,Don Martin ,41,USA,135.7,182.5,227.5,227.5,102.5,115,130,230,250,250,527.5,6
,,,,,,,,,,,,,,Kalevi Sorsa,
